"author/first_name","author/headline","author/last_name","author/profile_url","author/username","document/page_count","document/thumbnail","document/title","document/url","full_urn","media/images/0/height","media/images/0/url","media/images/0/width","media/images/1/height","media/images/1/url","media/images/1/width","media/images/2/height","media/images/2/url","media/images/2/width","media/images/3/height","media/images/3/url","media/images/3/width","media/images/4/height","media/images/4/url","media/images/4/width","media/images/5/height","media/images/5/url","media/images/5/width","media/images/6/height","media/images/6/url","media/images/6/width","media/images/7/height","media/images/7/url","media/images/7/width","media/thumbnail","media/type","media/url","pagination_token","post_type","posted_at/date","posted_at/relative","posted_at/timestamp","reshared_post/author/first_name","reshared_post/author/headline","reshared_post/author/last_name","reshared_post/author/profile_picture","reshared_post/author/profile_url","reshared_post/author/username","reshared_post/media/images/0/height","reshared_post/media/images/0/url","reshared_post/media/images/0/width","reshared_post/media/images/1/height","reshared_post/media/images/1/url","reshared_post/media/images/1/width","reshared_post/media/images/2/height","reshared_post/media/images/2/url","reshared_post/media/images/2/width","reshared_post/media/images/3/height","reshared_post/media/images/3/url","reshared_post/media/images/3/width","reshared_post/media/thumbnail","reshared_post/media/type","reshared_post/media/url","reshared_post/post_type","reshared_post/posted_at/date","reshared_post/posted_at/relative","reshared_post/posted_at/timestamp","reshared_post/stats/celebrate","reshared_post/stats/comments","reshared_post/stats/funny","reshared_post/stats/insight","reshared_post/stats/like","reshared_post/stats/love","reshared_post/stats/reposts","reshared_post/stats/support","reshared_post/stats/total_reactions","reshared_post/text","reshared_post/url","reshared_post/urn/activity_urn","reshared_post/urn/share_urn","reshared_post/urn/ugcPost_urn","stats/celebrate","stats/comments","stats/funny","stats/insight","stats/like","stats/love","stats/reposts","stats/support","stats/total_reactions","text","url","urn/activity_urn","urn/share_urn","urn/ugcPost_urn"
"Rishabh","Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor","Mariwala","https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY","rishabhmariwala",,,,,"urn:li:activity:7402542236497862656",,,,,,,,,,,,,,,,,,,,,,,,,,,,"dXJuOmxpOmFjdGl2aXR5OjcyODk1OTkwODk1OTAwOTk5NjgtMTczNzk3NTg1NzEyMA==","regular","2025-12-05 04:00:01","1 day ago • Visible to anyone on or off LinkedIn","1764903601765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","69","0","8","230","16","3","6","261","Building a meaningful company takes longer than people assume.
Funding is not progress. Time is.

India needs more long horizon capital that is comfortable with slow starts, tough cycles and uneven years. The companies that create durable value are backed by investors who stay the longest.

Patient capital delivers:
- Better founder decision making
- Stronger culture
- Compounding advantages
- Reduced pressure for artificial growth

If you are a founder, choose the investor who values the journey as much as the outcome.

Longevity is the real competitive edge.


#investing #startups #partnership","https://www.linkedin.com/posts/rishabhmariwala_investing-startups-partnership-activity-7402542236497862656-D_Lg?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I","7402542236497862656","7397009796190846976",
"Rishabh","Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor","Mariwala","https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY","rishabhmariwala",,,,,"urn:li:activity:7401817463094632448",,,,,,,,,,,,,,,,,,,,,,,,,,,,"dXJuOmxpOmFjdGl2aXR5OjcyODk1OTkwODk1OTAwOTk5NjgtMTczNzk3NTg1NzEyMA==","regular","2025-12-03 04:00:02","3 days ago • Visible to anyone on or off LinkedIn","1764730802320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","85","0","3","201","14","4","4","222","Most founders enter a market to compete. A few enter to redefine it. The difference shows up in outcomes.

Category creators do something powerful. They shift consumer behaviour rather than chase it. They build new expectations rather than optimise old ones. They are not fighting for percentage gains. They are imagining a world that works differently.

India is entering a phase where the biggest opportunities lie in categories that do not fully exist yet. Health, food, sustainability, supply chain, personal care, climate, financial wellbeing. Consumers are changing faster than the categories built to serve them.

If you are building today ask yourself a simple question.
Am I entering someone else’s race or creating a new one?

The companies that lead the next decade will be the ones that choose the second path.


#startups #consumer #impact #strategy #growth","https://www.linkedin.com/posts/rishabhmariwala_startups-consumer-impact-activity-7401817463094632448-pl5P?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I","7401817463094632448","7397009401150242817",
"Rishabh","Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor","Mariwala","https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY","rishabhmariwala",,,,,"urn:li:activity:7401092684469243904",,,,,,,,,,,,,,,,,,,,,,,,,,,,"dXJuOmxpOmFjdGl2aXR5OjcyODk1OTkwODk1OTAwOTk5NjgtMTczNzk3NTg1NzEyMA==","regular","2025-12-01 04:00:01","5 days ago • Visible to anyone on or off LinkedIn","1764558001630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","34","0","2","122","0","2","0","126","India’s venture ecosystem is maturing fast, yet one pattern is becoming harder to ignore. The gap between companies that scale into category leaders and the broader pool of VC backed startups is widening.

Globally, data shows that unicorns command post money valuations anywhere from 3x to 10x higher than closely matched peers. This premium emerges as early as the seed stage and continues across every round in the lifecycle.

In India, the trend points in the same direction even if the numbers are less granular. We now have more than 100 unicorns with a combined valuation above US 360 billion. Their scale and momentum place them in a different league from the average startup raising venture capital.

Something else is shifting. The time it takes to reach unicorn status has doubled. In 2024, the average timeline stretched to about 11 years, compared to roughly 5.5 years just a year earlier. This tells us that the companies breaking through today are doing so with far more resilience, clarity and durability built into their model.

We also know the broader funding environment in India has tightened. Deal volumes and average round sizes dropped meaningfully in 2023, making outperformance even harder to achieve.

Put together, the message is clear. Becoming a VC backed company in India is no longer the differentiator. Becoming an outlier is.

The next decade in Indian venture will belong to the companies that choose to play at that level from day one.


#India #Investing #VC #Future","https://www.linkedin.com/posts/rishabhmariwala_india-investing-vc-activity-7401092684469243904-hk4f?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I","7401092684469243904","7397008325277626368",
"Rishabh","Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor","Mariwala","https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY","rishabhmariwala",,,,,"urn:li:ugcPost:7400029894585253889",,,,,,,,,,,,,,,,,,,,,,,,,"https://media.licdn.com/dms/image/v2/D4D05AQHCrggZ0tfr9Q/videocover-high/B4DZrIwJruIEBY-/0/1764304663249?e=1765598400&v=beta&t=iK4d9NUqn5fxI4HP0ZO-RJB0aRtuMzqSFgxEsKQ2LGc","video","https://dms.licdn.com/playlist/vid/v2/D4D05AQHCrggZ0tfr9Q/mp4-720p-30fp-crf28/B4DZrIwJruIECM-/0/1764304679763?e=1765598400&v=beta&t=sqkZUtIUwQSR9KGSXEMMy3kaZ_mSReDkUMHS_tgg5d8","dXJuOmxpOmFjdGl2aXR5OjcyODk1OTkwODk1OTAwOTk5NjgtMTczNzk3NTg1NzEyMA==","regular","2025-11-28 05:38:04","1 week ago • Visible to anyone on or off LinkedIn","1764304684502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27","116","0","1","855","58","11","5","946","I grew up assuming I would join my father’s business, until I realised I wanted a life with more autonomy and pace.

That pull took me into entrepreneurship with no grand plan, no MBA, and nothing more than my mother’s soap recipe and the belief that I had to start somewhere. Those early years shaped everything I know about resilience, uncertainty and the quiet realities of building from scratch.

Along the way, I discovered investing and began to understand founders from both sides of the table. 

Their courage, their doubts, and their determination felt familiar because I had lived that journey myself.

That is why Ideabaaz matters to me. It gives founders a space to speak honestly and bring their ideas forward without theatrics.

Catch the episodes on ZEE5 and Zee Tv.


Raj Nayak, Jeet Wagh, Mudit Kumar, Kailash Gandhi, Pratik Gandhi
Titans: Jimmy Mistry, Archana Jahagirdar, Anupam Bansal, Arjun Vaidya, Priyanka Salot, Simron Mohapatra, Shaili Chopra and Sandesh Sharda. 



#india #entrepreneurship #growth #inspiration","https://www.linkedin.com/posts/rishabhmariwala_india-entrepreneurship-growth-activity-7400030195425918979-mCs9?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I","7400030195425918979",,"7400029894585253889"
"Rishabh","Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor","Mariwala","https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY","rishabhmariwala",,,,,"urn:li:activity:7399288320708698112",,,,,,,,,,,,,,,,,,,,,,,,,,,,"dXJuOmxpOmFjdGl2aXR5OjcyODk1OTkwODk1OTAwOTk5NjgtMTczNzk3NTg1NzEyMA==","regular","2025-11-26 04:30:07","1 week ago • Visible to anyone on or off LinkedIn","1764127807786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","56","0","1","157","3","3","4","167","Every strong business has an emerging challenger, even if you cannot see them yet.

Success often brings comfort. Comfort creates blind spots. That is usually when disruption enters quietly.

India has seen this play out up close. The taxi market had operated the same way for years. Fragmented, offline, resistant to change. Uber arrived with a simple idea and reshaped consumer behaviour across the country. The incumbents were larger and more established. Uber imagined a different future and moved before anyone else realised what was shifting.

The pattern is familiar. Disruption rarely begins with size. It begins with someone willing to question the assumptions everyone else accepts.

If there is a product, service or model that could challenge your business, someone is already exploring it. The smarter move is to build that version of your company from within before it comes from outside.

Momentum favours the ones who act early.


#strategy #startups #innovation","https://www.linkedin.com/posts/rishabhmariwala_strategy-startups-innovation-activity-7399288320708698112-qOro?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I","7399288320708698112","7397006344513273856",
"Rishabh","Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor","Mariwala","https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY","rishabhmariwala",,,,,"urn:li:activity:7398555976586616832",,,,,,,,,,,,,,,,,,,,,,,,,,,,"dXJuOmxpOmFjdGl2aXR5OjcyODk1OTkwODk1OTAwOTk5NjgtMTczNzk3NTg1NzEyMA==","regular","2025-11-24 04:00:03","1 week ago • Visible to anyone on or off LinkedIn","1763953203341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","46","0","6","100","2","2","1","110","AI is reshaping how investors operate. The landscape is becoming more global, more competitive and far more data driven. Information that once took weeks to gather now sits at your fingertips. Pattern recognition is faster. Market mapping is sharper. Signals are clearer.

Yet one truth remains unchanged. The quality of the management team still drives the outcome.

AI can help you analyse markets, pressure test assumptions and understand competitive dynamics with greater precision. It cannot replace the judgment needed to evaluate a founder’s resilience, clarity and ability to execute.

In venture, the data matters. The industry shifts matter. The technology waves matter. The person leading the company matters most.

Betting on the jockey continues to be the decisive factor. AI sharpens the process, but the core of investing stays human.


#technology #future #investing","https://www.linkedin.com/posts/rishabhmariwala_technology-future-investing-activity-7398555976586616832-_e9I?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I","7398555976586616832","7397005595939106816",
"Rishabh","Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor","Mariwala","https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY","rishabhmariwala",,,,,"urn:li:activity:7397846321472282624",,,,,,,,,,,,,,,,,,,,,,,,,,,,"dXJuOmxpOmFjdGl2aXR5OjcyODk1OTkwODk1OTAwOTk5NjgtMTczNzk3NTg1NzEyMA==","regular","2025-11-22 05:00:08","1 week ago • Visible to anyone on or off LinkedIn","1763784008377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","39","0","7","159","7","3","3","177","Founders often ask what truly impresses an investor. The answer is simpler than people think. Deep understanding.

If you know the full history of your space, you signal something rare. You show respect for the craft. You show that you have taken the time to study what worked, what failed and why the market looks the way it does today.

Every sector has a trail of earlier attempts. Some were ahead of their time. Some collapsed under the wrong model. Some were limited by technology that has only now matured. When a founder can explain these patterns with clarity, it immediately changes the conversation.

Investors pay attention to that level of awareness. It shows discipline. It shows judgment. It shows that you are building with intelligence rather than ego.
The fastest way to lose a room is to pretend history does not matter. Saying you are better than everyone who tried before you is not confidence. It signals a lack of curiosity.

The founders who study their space deeply always stand out. They build sharper products. They ask better questions. They understand timing. They respect the complexity of the market they want to change.


#investing #startups #mindset #future #success","https://www.linkedin.com/posts/rishabhmariwala_investing-startups-mindset-activity-7397846321472282624-0bjM?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I","7397846321472282624","7397005231718301697",
"Rishabh","Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor","Mariwala","https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY","rishabhmariwala",,,,,"urn:li:activity:7397106505906372608",,,,,,,,,,,,,,,,,,,,,,,,,,,,"dXJuOmxpOmFjdGl2aXR5OjcyODk1OTkwODk1OTAwOTk5NjgtMTczNzk3NTg1NzEyMA==","regular","2025-11-20 04:00:22","2 weeks ago • Visible to anyone on or off LinkedIn","1763607622601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","60","0","11","323","11","5","5","353","One thing I have learned in venture investing is that expertise compounds faster than capital.

If you want to succeed as a venture capitalist, you need to own a niche. Not observe it. Own it.

Know every startup. Know the operators who are shaping the category. Know the incumbents who influence the market. Know the shifts before they become trends.

When the best founders in that space start thinking about whom to work with, your name should arrive in their mind before the list even begins. 

That level of relevance does not come from broad investing. It comes from depth. It comes from showing up in a space long enough for people to trust that you understand it.


#investing #mindset #impact #success","https://www.linkedin.com/posts/rishabhmariwala_investing-mindset-impact-activity-7397106505906372608-h-TC?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I","7397106505906372608","7397004817971261441",
"Rishabh","Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor","Mariwala","https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY","rishabhmariwala",,,,,"urn:li:activity:7396029795391672320","1536","https://media.licdn.com/dms/image/v2/D4D22AQFlTVxfuQ9FFg/feedshare-shrink_2048_1536/B4DZqP55FzGkAw-/0/1763350913299?e=1766620800&v=beta&t=5phdrNPK5ZSfTYiilYOXkNR72USLt_HlPh-9311I-t0","2048",,,,,,,,,,,,,,,,,,,,,,,"image","https://media.licdn.com/dms/image/v2/D4D22AQFlTVxfuQ9FFg/feedshare-shrink_2048_1536/B4DZqP55FzGkAw-/0/1763350913299?e=1766620800&v=beta&t=5phdrNPK5ZSfTYiilYOXkNR72USLt_HlPh-9311I-t0","dXJuOmxpOmFjdGl2aXR5OjcyODk1OTkwODk1OTAwOTk5NjgtMTczNzk3NTg1NzEyMA==","regular","2025-11-17 04:41:54","2 weeks ago • Visible to anyone on or off LinkedIn","1763350914810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11","58","1","2","864","26","3","7","911","We say we do not judge.
Just kidding, we absolutely judge.
We listen. We analyse. We invest. 😊 



#India #Entrepreneurship #Ideabaaz","https://www.linkedin.com/posts/rishabhmariwala_india-entrepreneurship-ideabaaz-activity-7396029795391672320-x94a?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I","7396029795391672320","7396029793860747264",
"Sharrp","19,717 followers","Ventures | Harsh Mariwala Investment Office","https://www.linkedin.com/company/sharrp-ventures/posts",,,,,,"urn:li:ugcPost:7394984510142160896",,,,,,,,,,,,,,,,,,,,,,,,,"https://media.licdn.com/dms/image/v2/D4D05AQH8dxaF4EBfnQ/videocover-high/B4DZqBDRboJUBU-/0/1763101711390?e=1765598400&v=beta&t=urlXjxYz_TSKjIgGQjTtTYIGvB1BT7gi3LuhDP2B-DY","video","https://dms.licdn.com/playlist/vid/v2/D4D05AQH8dxaF4EBfnQ/mp4-720p-30fp-crf28/B4DZqBDRboJUCI-/0/1763101722031?e=1765598400&v=beta&t=qP6IkuMOxVLH2A4ozf-3-iIVNI_v8SYRYxXlnd4uwIo","dXJuOmxpOmFjdGl2aXR5OjcyODk1OTkwODk1OTAwOTk5NjgtMTczNzk3NTg1NzEyMA==","repost","2025-11-14 11:47:18","3 weeks ago • Edited • Visible to anyone on or off LinkedIn","1763117238690",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","6","0","0","52","2","5","1","57","𝐈𝐧𝐧𝐨𝐯𝐚𝐭𝐢𝐨𝐧 𝐡𝐚𝐬 𝐧𝐨 𝐩𝐢𝐧 𝐜𝐨𝐝𝐞.

Some of India’s most exciting ventures are being built far from the metros. In cities where ambition meets resourcefulness, entrepreneurs are turning local challenges into national opportunities.

Ideabaaz shines a light on these builders from India’s heartland who are proving that innovation is born wherever there is intent, curiosity, and courage.

Among the Titans this season is Rishabh Mariwala, who brings his belief in long-term, sustainable entrepreneurship to every conversation.

At Sharrp Ventures, we believe in backing purposeful founders and ideas that shape India’s future from the ground up. Through patience, partnership, and shared values, we continue to support those building with clarity and conviction.

Catch Ideabaaz on Zee Tv and ZEE5 this Saturday and Sunday from 6:30 PM to 11:00 PM, and witness the spirit of Indian entrepreneurship in its truest form.


Raj Nayak Mudit Kumar Jeet Wagh Ideabaaz
#India #Entrepreneurship #Future #Impact","https://www.linkedin.com/posts/sharrp-ventures_india-entrepreneurship-future-ugcPost-7394984510142160896-PJte?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I","7395049686706860032",,"7394984510142160896"
