author/headline,author/profile_url,author/username,full_urn,media/images/6/height,media/images/6/url,media/images/6/width,media/images/7/height,media/images/7/url,media/images/7/width,post_type,posted_at/date,posted_at/timestamp,reshared_post/media/images/1/height,reshared_post/media/images/1/url,reshared_post/media/images/1/width,reshared_post/media/images/2/height,reshared_post/media/images/2/url,reshared_post/media/images/2/width,reshared_post/media/images/3/height,reshared_post/media/images/3/url,reshared_post/media/images/3/width,stats/celebrate,stats/comments,stats/funny,stats/insight,stats/like,stats/love,stats/reposts,stats/support,stats/total_reactions,text,url,author/full_name,processed_text,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_compound,sentiment_label
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7402542236497862656,,,,,,,regular,2025-12-05 04:00:01,1764903601765,,,,,,,,,,1,69,0,8,230,16,3,6,261,"Building a meaningful company takes longer than people assume.
Funding is not progress. Time is.

India needs more long horizon capital that is comfortable with slow starts, tough cycles and uneven years. The companies that create durable value are backed by investors who stay the longest.

Patient capital delivers:
- Better founder decision making
- Stronger culture
- Compounding advantages
- Reduced pressure for artificial growth

If you are a founder, choose the investor who values the journey as much as the outcome.

Longevity is the real competitive edge.


#investing #startups #partnership",https://www.linkedin.com/posts/rishabhmariwala_investing-startups-partnership-activity-7402542236497862656-D_Lg?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,building a meaningful company takes longer than people assume funding is not progress time is india needs more long horizon capital that is comfortable with slow starts tough cycles and uneven years the companies that create durable value are backed by investors who stay the longest patient capital delivers better founder decision making stronger culture compounding advantages reduced pressure for artificial growth if you are a founder choose the investor who values the journey as much as the outcome longevity is the real competitive edge investing startups partnership,0.058,0.691,0.251,0.9529,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7401817463094632448,,,,,,,regular,2025-12-03 04:00:02,1764730802320,,,,,,,,,,0,85,0,3,201,14,4,4,222,"Most founders enter a market to compete. A few enter to redefine it. The difference shows up in outcomes.

Category creators do something powerful. They shift consumer behaviour rather than chase it. They build new expectations rather than optimise old ones. They are not fighting for percentage gains. They are imagining a world that works differently.

India is entering a phase where the biggest opportunities lie in categories that do not fully exist yet. Health, food, sustainability, supply chain, personal care, climate, financial wellbeing. Consumers are changing faster than the categories built to serve them.

If you are building today ask yourself a simple question.
Am I entering someone else’s race or creating a new one?

The companies that lead the next decade will be the ones that choose the second path.


#startups #consumer #impact #strategy #growth",https://www.linkedin.com/posts/rishabhmariwala_startups-consumer-impact-activity-7401817463094632448-pl5P?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,most founders enter a market to compete a few enter to redefine it the difference shows up in outcomes category creators do something powerful they shift consumer behaviour rather than chase it they build new expectations rather than optimise old ones they are not fighting for percentage gains they are imagining a world that works differently india is entering a phase where the biggest opportunities lie in categories that do not fully exist yet health food sustainability supply chain personal care climate financial wellbeing consumers are changing faster than the categories built to serve them if you are building today ask yourself a simple question am i entering someone elses race or creating a new one the companies that lead the next decade will be the ones that choose the second path startups consumer impact strategy growth,0.0,0.854,0.146,0.9572,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7401092684469243904,,,,,,,regular,2025-12-01 04:00:01,1764558001630,,,,,,,,,,2,34,0,2,122,0,2,0,126,"India’s venture ecosystem is maturing fast, yet one pattern is becoming harder to ignore. The gap between companies that scale into category leaders and the broader pool of VC backed startups is widening.

Globally, data shows that unicorns command post money valuations anywhere from 3x to 10x higher than closely matched peers. This premium emerges as early as the seed stage and continues across every round in the lifecycle.

In India, the trend points in the same direction even if the numbers are less granular. We now have more than 100 unicorns with a combined valuation above US 360 billion. Their scale and momentum place them in a different league from the average startup raising venture capital.

Something else is shifting. The time it takes to reach unicorn status has doubled. In 2024, the average timeline stretched to about 11 years, compared to roughly 5.5 years just a year earlier. This tells us that the companies breaking through today are doing so with far more resilience, clarity and durability built into their model.

We also know the broader funding environment in India has tightened. Deal volumes and average round sizes dropped meaningfully in 2023, making outperformance even harder to achieve.

Put together, the message is clear. Becoming a VC backed company in India is no longer the differentiator. Becoming an outlier is.

The next decade in Indian venture will belong to the companies that choose to play at that level from day one.


#India #Investing #VC #Future",https://www.linkedin.com/posts/rishabhmariwala_india-investing-vc-activity-7401092684469243904-hk4f?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,indias venture ecosystem is maturing fast yet one pattern is becoming harder to ignore the gap between companies that scale into category leaders and the broader pool of vc backed startups is widening globally data shows that unicorns command post money valuations anywhere from x to x higher than closely matched peers this premium emerges as early as the seed stage and continues across every round in the lifecycle in india the trend points in the same direction even if the numbers are less granular we now have more than unicorns with a combined valuation above us billion their scale and momentum place them in a different league from the average startup raising venture capital something else is shifting the time it takes to reach unicorn status has doubled in the average timeline stretched to about years compared to roughly years just a year earlier this tells us that the companies breaking through today are doing so with far more resilience clarity and durability built into their model we also know the broader funding environment in india has tightened deal volumes and average round sizes dropped meaningfully in making outperformance even harder to achieve put together the message is clear becoming a vc backed company in india is no longer the differentiator becoming an outlier is the next decade in indian venture will belong to the companies that choose to play at that level from day one india investing vc future,0.019,0.934,0.046,0.5542,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:ugcPost:7400029894585253889,,,,,,,regular,2025-11-28 05:38:04,1764304684502,,,,,,,,,,27,116,0,1,855,58,11,5,946,"I grew up assuming I would join my father’s business, until I realised I wanted a life with more autonomy and pace.

That pull took me into entrepreneurship with no grand plan, no MBA, and nothing more than my mother’s soap recipe and the belief that I had to start somewhere. Those early years shaped everything I know about resilience, uncertainty and the quiet realities of building from scratch.

Along the way, I discovered investing and began to understand founders from both sides of the table. 

Their courage, their doubts, and their determination felt familiar because I had lived that journey myself.

That is why Ideabaaz matters to me. It gives founders a space to speak honestly and bring their ideas forward without theatrics.

Catch the episodes on ZEE5 and Zee Tv.


Raj Nayak, Jeet Wagh, Mudit Kumar, Kailash Gandhi, Pratik Gandhi
Titans: Jimmy Mistry, Archana Jahagirdar, Anupam Bansal, Arjun Vaidya, Priyanka Salot, Simron Mohapatra, Shaili Chopra and Sandesh Sharda. 



#india #entrepreneurship #growth #inspiration",https://www.linkedin.com/posts/rishabhmariwala_india-entrepreneurship-growth-activity-7400030195425918979-mCs9?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,i grew up assuming i would join my fathers business until i realised i wanted a life with more autonomy and pace that pull took me into entrepreneurship with no grand plan no mba and nothing more than my mothers soap recipe and the belief that i had to start somewhere those early years shaped everything i know about resilience uncertainty and the quiet realities of building from scratch along the way i discovered investing and began to understand founders from both sides of the table their courage their doubts and their determination felt familiar because i had lived that journey myself that is why ideabaaz matters to me it gives founders a space to speak honestly and bring their ideas forward without theatrics catch the episodes on zee and zee tv raj nayak jeet wagh mudit kumar kailash gandhi pratik gandhi titans jimmy mistry archana jahagirdar anupam bansal arjun vaidya priyanka salot simron mohapatra shaili chopra and sandesh sharda india entrepreneurship growth inspiration,0.052,0.825,0.123,0.9042,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7399288320708698112,,,,,,,regular,2025-11-26 04:30:07,1764127807786,,,,,,,,,,2,56,0,1,157,3,3,4,167,"Every strong business has an emerging challenger, even if you cannot see them yet.

Success often brings comfort. Comfort creates blind spots. That is usually when disruption enters quietly.

India has seen this play out up close. The taxi market had operated the same way for years. Fragmented, offline, resistant to change. Uber arrived with a simple idea and reshaped consumer behaviour across the country. The incumbents were larger and more established. Uber imagined a different future and moved before anyone else realised what was shifting.

The pattern is familiar. Disruption rarely begins with size. It begins with someone willing to question the assumptions everyone else accepts.

If there is a product, service or model that could challenge your business, someone is already exploring it. The smarter move is to build that version of your company from within before it comes from outside.

Momentum favours the ones who act early.


#strategy #startups #innovation",https://www.linkedin.com/posts/rishabhmariwala_strategy-startups-innovation-activity-7399288320708698112-qOro?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,every strong business has an emerging challenger even if you cannot see them yet success often brings comfort comfort creates blind spots that is usually when disruption enters quietly india has seen this play out up close the taxi market had operated the same way for years fragmented offline resistant to change uber arrived with a simple idea and reshaped consumer behaviour across the country the incumbents were larger and more established uber imagined a different future and moved before anyone else realised what was shifting the pattern is familiar disruption rarely begins with size it begins with someone willing to question the assumptions everyone else accepts if there is a product service or model that could challenge your business someone is already exploring it the smarter move is to build that version of your company from within before it comes from outside momentum favours the ones who act early strategy startups innovation,0.053,0.772,0.175,0.9593,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7398555976586616832,,,,,,,regular,2025-11-24 04:00:03,1763953203341,,,,,,,,,,1,46,0,6,100,2,2,1,110,"AI is reshaping how investors operate. The landscape is becoming more global, more competitive and far more data driven. Information that once took weeks to gather now sits at your fingertips. Pattern recognition is faster. Market mapping is sharper. Signals are clearer.

Yet one truth remains unchanged. The quality of the management team still drives the outcome.

AI can help you analyse markets, pressure test assumptions and understand competitive dynamics with greater precision. It cannot replace the judgment needed to evaluate a founder’s resilience, clarity and ability to execute.

In venture, the data matters. The industry shifts matter. The technology waves matter. The person leading the company matters most.

Betting on the jockey continues to be the decisive factor. AI sharpens the process, but the core of investing stays human.


#technology #future #investing",https://www.linkedin.com/posts/rishabhmariwala_technology-future-investing-activity-7398555976586616832-_e9I?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,ai is reshaping how investors operate the landscape is becoming more global more competitive and far more data driven information that once took weeks to gather now sits at your fingertips pattern recognition is faster market mapping is sharper signals are clearer yet one truth remains unchanged the quality of the management team still drives the outcome ai can help you analyse markets pressure test assumptions and understand competitive dynamics with greater precision it cannot replace the judgment needed to evaluate a founders resilience clarity and ability to execute in venture the data matters the industry shifts matter the technology waves matter the person leading the company matters most betting on the jockey continues to be the decisive factor ai sharpens the process but the core of investing stays human technology future investing,0.012,0.85,0.138,0.8228,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7397846321472282624,,,,,,,regular,2025-11-22 05:00:08,1763784008377,,,,,,,,,,1,39,0,7,159,7,3,3,177,"Founders often ask what truly impresses an investor. The answer is simpler than people think. Deep understanding.

If you know the full history of your space, you signal something rare. You show respect for the craft. You show that you have taken the time to study what worked, what failed and why the market looks the way it does today.

Every sector has a trail of earlier attempts. Some were ahead of their time. Some collapsed under the wrong model. Some were limited by technology that has only now matured. When a founder can explain these patterns with clarity, it immediately changes the conversation.

Investors pay attention to that level of awareness. It shows discipline. It shows judgment. It shows that you are building with intelligence rather than ego.
The fastest way to lose a room is to pretend history does not matter. Saying you are better than everyone who tried before you is not confidence. It signals a lack of curiosity.

The founders who study their space deeply always stand out. They build sharper products. They ask better questions. They understand timing. They respect the complexity of the market they want to change.


#investing #startups #mindset #future #success",https://www.linkedin.com/posts/rishabhmariwala_investing-startups-mindset-activity-7397846321472282624-0bjM?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,founders often ask what truly impresses an investor the answer is simpler than people think deep understanding if you know the full history of your space you signal something rare you show respect for the craft you show that you have taken the time to study what worked what failed and why the market looks the way it does today every sector has a trail of earlier attempts some were ahead of their time some collapsed under the wrong model some were limited by technology that has only now matured when a founder can explain these patterns with clarity it immediately changes the conversation investors pay attention to that level of awareness it shows discipline it shows judgment it shows that you are building with intelligence rather than ego the fastest way to lose a room is to pretend history does not matter saying you are better than everyone who tried before you is not confidence it signals a lack of curiosity the founders who study their space deeply always stand out they build sharper products they ask better questions they understand timing they respect the complexity of the market they want to change investing startups mindset future success,0.097,0.775,0.128,0.8697,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7397106505906372608,,,,,,,regular,2025-11-20 04:00:22,1763607622601,,,,,,,,,,3,60,0,11,323,11,5,5,353,"One thing I have learned in venture investing is that expertise compounds faster than capital.

If you want to succeed as a venture capitalist, you need to own a niche. Not observe it. Own it.

Know every startup. Know the operators who are shaping the category. Know the incumbents who influence the market. Know the shifts before they become trends.

When the best founders in that space start thinking about whom to work with, your name should arrive in their mind before the list even begins. 

That level of relevance does not come from broad investing. It comes from depth. It comes from showing up in a space long enough for people to trust that you understand it.


#investing #mindset #impact #success",https://www.linkedin.com/posts/rishabhmariwala_investing-mindset-impact-activity-7397106505906372608-h-TC?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,one thing i have learned in venture investing is that expertise compounds faster than capital if you want to succeed as a venture capitalist you need to own a niche not observe it own it know every startup know the operators who are shaping the category know the incumbents who influence the market know the shifts before they become trends when the best founders in that space start thinking about whom to work with your name should arrive in their mind before the list even begins that level of relevance does not come from broad investing it comes from depth it comes from showing up in a space long enough for people to trust that you understand it investing mindset impact success,0.0,0.878,0.122,0.9403,Positive
Founder & Managing Partner - Sharrp Ventures | Director - Marico Ltd. & Kaya Ltd. | Consumer Investor,https://www.linkedin.com/in/rishabhmariwala?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAAT8NS8B4y71YeV8-msrSVzy5kSxR8bmMZY,rishabhmariwala,urn:li:activity:7396029795391672320,,,,,,,regular,2025-11-17 04:41:54,1763350914810,,,,,,,,,,11,58,1,2,864,26,3,7,911,"We say we do not judge.
Just kidding, we absolutely judge.
We listen. We analyse. We invest. 😊 



#India #Entrepreneurship #Ideabaaz",https://www.linkedin.com/posts/rishabhmariwala_india-entrepreneurship-ideabaaz-activity-7396029795391672320-x94a?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Rishabh Mariwala,we say we do not judge just kidding we absolutely judge we listen we analyse we invest india entrepreneurship ideabaaz,0.064,0.936,0.0,-0.0762,Negative
"19,717 followers",https://www.linkedin.com/company/sharrp-ventures/posts,,urn:li:ugcPost:7394984510142160896,,,,,,,repost,2025-11-14 11:47:18,1763117238690,,,,,,,,,,2,6,0,0,52,2,5,1,57,"𝐈𝐧𝐧𝐨𝐯𝐚𝐭𝐢𝐨𝐧 𝐡𝐚𝐬 𝐧𝐨 𝐩𝐢𝐧 𝐜𝐨𝐝𝐞.

Some of India’s most exciting ventures are being built far from the metros. In cities where ambition meets resourcefulness, entrepreneurs are turning local challenges into national opportunities.

Ideabaaz shines a light on these builders from India’s heartland who are proving that innovation is born wherever there is intent, curiosity, and courage.

Among the Titans this season is Rishabh Mariwala, who brings his belief in long-term, sustainable entrepreneurship to every conversation.

At Sharrp Ventures, we believe in backing purposeful founders and ideas that shape India’s future from the ground up. Through patience, partnership, and shared values, we continue to support those building with clarity and conviction.

Catch Ideabaaz on Zee Tv and ZEE5 this Saturday and Sunday from 6:30 PM to 11:00 PM, and witness the spirit of Indian entrepreneurship in its truest form.


Raj Nayak Mudit Kumar Jeet Wagh Ideabaaz
#India #Entrepreneurship #Future #Impact",https://www.linkedin.com/posts/sharrp-ventures_india-entrepreneurship-future-ugcPost-7394984510142160896-PJte?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGCcrnQBrKbSa0WbTmL6WkyFlIEj-GhhK0I,Sharrp Ventures | Harsh Mariwala Investment Office,some of indias most exciting ventures are being built far from the metros in cities where ambition meets resourcefulness entrepreneurs are turning local challenges into national opportunities ideabaaz shines a light on these builders from indias heartland who are proving that innovation is born wherever there is intent curiosity and courage among the titans this season is rishabh mariwala who brings his belief in longterm sustainable entrepreneurship to every conversation at sharrp ventures we believe in backing purposeful founders and ideas that shape indias future from the ground up through patience partnership and shared values we continue to support those building with clarity and conviction catch ideabaaz on zee tv and zee this saturday and sunday from pm to pm and witness the spirit of indian entrepreneurship in its truest form raj nayak mudit kumar jeet wagh ideabaaz india entrepreneurship future impact,0.0,0.814,0.186,0.9761,Positive
